conversation_id,ticket_id,customer_id,order_id,behavior,category,tone,turns,resolved,created_at
349778d5-e7f9-4f07-a43a-704061ddf469,fb466d0a-5ccd-4427-a31a-87cb8067a6a0,060e732b5b29e8181a18229c7b0b2b5e,0954b84e-20ab-422a-9a2b-ba30615cef9c,new,REFUND,polite,"[{'role': 'customer', 'text': 'Requesting a refund - item was wrong.'}, {'role': 'agent', 'text': ""Thanks for reaching out about your refund. I've checked your order and our returns policy; here's where things stand and the next step I can take for you. (offline draft 563c08)"", 'meta': {'expected_context': ['case_state', 'kb_retrieval', 'segment_policy'], 'generated_by': 'offline'}}]",True,2026-06-27
9442fa59-ea16-41d3-ad3b-0e32d006cba9,e873be48-6638-4ec1-87b7-ae316ce68e09,259dac757896d24d7702b9acbbff3f3c,abb56525-ab54-456f-a34d-ba5398f9f532,new,ACCOUNT,polite,"[{'role': 'customer', 'text': 'I got to see the fucking purchase history, how could I do it?'}, {'role': 'agent', 'text': ""Thanks for reaching out about your refund. I've checked your order and our returns policy; here's where things stand and the next step I can take for you. (offline draft 882966)"", 'meta': {'expected_context': ['case_state', 'kb_retrieval', 'segment_policy'], 'generated_by': 'offline'}}]",True,2026-07-01
5b97fdff-1def-4bca-a3c3-2bcb135d6204,c535d6e7-d968-479d-a047-fa4659e879b8,259dac757896d24d7702b9acbbff3f3c,65054ff2-f911-48a9-bc7c-17a3026ccf74,new,PAYMENT_ISSUE,polite,"[{'role': 'customer', 'text': 'where can i make a fucking payment'}, {'role': 'agent', 'text': ""Let me pull up that order for you. Based on the latest tracking and delivery estimate, here's the current status and what to expect next. (offline draft ac31fc)"", 'meta': {'expected_context': ['case_state', 'kb_retrieval', 'segment_policy'], 'generated_by': 'offline'}}]",True,2026-07-14
a1197a6c-0a6c-4343-889c-ac6288778589,483b0424-ded1-4041-9064-063b6017ac8f,4c93744516667ad3b8f1fb645a3116a4,e8cf8838-c879-4ddf-b284-0720f564c8c0,fraud,REFUND,insistent,"[{'role': 'customer', 'text': 'I want a refund for my last order, it never showed up.'}, {'role': 'agent', 'text': ""Thanks for reaching out about your refund. I've checked your order and our returns policy; here's where things stand and the next step I can take for you. (offline draft 7ad00f)"", 'meta': {'expected_context': ['case_state', 'kb_retrieval', 'segment_policy'], 'generated_by': 'offline'}}, {'role': 'customer', 'text': ""I don't understand why this needs review, just process it now.""}, {'role': 'agent', 'text': ""Thanks for reaching out about your refund. I've checked your order and our returns policy; here's where things stand and the next step I can take for you. (offline draft 310eac)"", 'meta': {'expected_context': ['case_state', 'kb_retrieval', 'segment_policy'], 'generated_by': 'offline'}}]",True,2026-07-01
ec10eedd-b6c8-43cd-9d55-8fe5e942379f,7f3f0127-d940-48f2-9ecb-638614a90b45,4c93744516667ad3b8f1fb645a3116a4,1a22ed64-d1b9-4189-9fb7-0b43009c2612,fraud,DAMAGED_ITEM,insistent,"[{'role': 'customer', 'text': 'The item I received is damaged, I have photos.'}, {'role': 'agent', 'text': ""Thanks for reaching out about your refund. I've checked your order and our returns policy; here's where things stand and the next step I can take for you. (offline draft 3f92f2)"", 'meta': {'expected_context': ['case_state', 'kb_retrieval', 'segment_policy'], 'generated_by': 'offline'}}, {'role': 'customer', 'text': 'Can you just make an exception this once?'}, {'role': 'agent', 'text': ""Thanks for reaching out about your refund. I've checked your order and our returns policy; here's where things stand and the next step I can take for you. (offline draft fd5f57)"", 'meta': {'expected_context': ['case_state', 'kb_retrieval', 'segment_policy'], 'generated_by': 'offline'}}]",True,2026-07-15
02036cca-caab-4cb2-84e5-e1b602b03456,ff78385e-4af4-4392-b911-a0f555777e76,4c93744516667ad3b8f1fb645a3116a4,d1ebfa4a-2e2f-4314-a7b7-8c27c2c4e3a5,fraud,REFUND,insistent,"[{'role': 'customer', 'text': 'Requesting a refund - item was wrong.'}, {'role': 'agent', 'text': ""Thanks for reaching out about your refund. I've checked your order and our returns policy; here's where things stand and the next step I can take for you. (offline draft 0b2644)"", 'meta': {'expected_context': ['case_state', 'kb_retrieval', 'segment_policy'], 'generated_by': 'offline'}}, {'role': 'customer', 'text': ""I don't understand why this needs review, just process it now.""}, {'role': 'agent', 'text': ""Thanks for reaching out about your refund. I've checked your order and our returns policy; here's where things stand and the next step I can take for you. (offline draft 310eac)"", 'meta': {'expected_context': ['case_state', 'kb_retrieval', 'segment_policy'], 'generated_by': 'offline'}}]",True,2026-07-10
93408d77-d71d-481e-afba-57b72190f285,43bc4ffb-1cbd-4800-8558-17c45009baf0,4c93744516667ad3b8f1fb645a3116a4,115b37e0-7507-47b0-87bb-5c44e258edd6,fraud,REFUND,insistent,"[{'role': 'customer', 'text': 'Requesting a refund - item was wrong.'}, {'role': 'agent', 'text': ""Thanks for reaching out about your refund. I've checked your order and our returns policy; here's where things stand and the next step I can take for you. (offline draft 0b2644)"", 'meta': {'expected_context': ['case_state', 'kb_retrieval', 'segment_policy'], 'generated_by': 'offline'}}, {'role': 'customer', 'text': ""I don't understand why this needs review, just process it now.""}, {'role': 'agent', 'text': ""Thanks for reaching out about your refund. I've checked your order and our returns policy; here's where things stand and the next step I can take for you. (offline draft 310eac)"", 'meta': {'expected_context': ['case_state', 'kb_retrieval', 'segment_policy'], 'generated_by': 'offline'}}]",True,2026-07-04
148eff4d-00b5-474c-9998-9063060dde7b,6c30c3ec-9c57-4c9d-a122-7f8bb6bc6000,4c93744516667ad3b8f1fb645a3116a4,58770a54-cbbd-43cd-a450-f8bfd62a708c,fraud,CANCELLATION,insistent,"[{'role': 'customer', 'text': 'I need to cancel my order, I just placed it by mistake.'}, {'role': 'agent', 'text': ""Thanks for reaching out — I've reviewed your account and our policies, and here's how I can help with that. (offline draft a2d40b)"", 'meta': {'expected_context': ['case_state', 'kb_retrieval', 'segment_policy'], 'generated_by': 'offline'}}]",True,2026-06-22
8d29ecef-1b00-49d5-9fad-cf410b814c5f,db8fe9e9-4d29-42ef-aad5-5ab11eac7061,4c93744516667ad3b8f1fb645a3116a4,d24cdd4b-9d72-437b-9931-437be22aa1ac,fraud,CANCELLATION,insistent,"[{'role': 'customer', 'text': 'I need to cancel my order, I just placed it by mistake.'}, {'role': 'agent', 'text': ""Thanks for reaching out — I've reviewed your account and our policies, and here's how I can help with that. (offline draft a2d40b)"", 'meta': {'expected_context': ['case_state', 'kb_retrieval', 'segment_policy'], 'generated_by': 'offline'}}, {'role': 'customer', 'text': 'Can you just make an exception this once?'}, {'role': 'agent', 'text': ""Thanks for reaching out — I've reviewed your account and our policies, and here's how I can help with that. (offline draft 4e22a3)"", 'meta': {'expected_context': ['case_state', 'kb_retrieval', 'segment_policy'], 'generated_by': 'offline'}}, {'role': 'system', 'text': '[ESCALATED_TO_HUMAN]', 'meta': {'reason': 'fraud_review'}}]",False,2026-07-13
ab5a9a50-2f2f-4f77-82e3-1248a8acb137,e5b31b3e-32b1-41e6-9b38-e877c9961c9e,4c93744516667ad3b8f1fb645a3116a4,d35f44b2-6b98-4557-b0d1-b7052b377678,fraud,CANCELLATION,insistent,"[{'role': 'customer', 'text': 'I need to cancel my order, I just placed it by mistake.'}, {'role': 'agent', 'text': ""Thanks for reaching out — I've reviewed your account and our policies, and here's how I can help with that. (offline draft a2d40b)"", 'meta': {'expected_context': ['case_state', 'kb_retrieval', 'segment_policy'], 'generated_by': 'offline'}}]",True,2026-06-06
